City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,tiksi,71.6872,128.8694,6.88,68,39,1.38,RU,1717472076
119,iskateley,67.6803,53.1512,6.68,95,98,2.68,RU,1717472076
120,inhambane,-23.865,35.3833,22.74,92,68,3.18,MZ,1717472030
121,xinyuan,37.3,99.0,10.59,39,1,6.07,CN,1717472076
122,kavieng,-2.5744,150.7967,29.56,70,87,1.46,PG,1717471888
123,muroto-misakicho,33.2833,134.15,21.3,65,2,5.05,JP,1717472077
124,mysore,12.3072,76.6497,26.0,78,20,2.06,IN,1717472077
125,broken hill,-31.95,141.4333,11.05,49,99,3.66,AU,1717471883
126,oulainen,64.2667,24.8,15.45,74,100,1.17,FI,1717471839
127,ilulissat,69.2167,-51.1,0.01,74,8,0.51,GL,1717472078
128,vilyuysk,63.7553,121.6247,26.11,23,25,3.58,RU,1717471937
129,sarandi grande,-33.7333,-56.3333,2.95,92,25,3.48,UY,1717472078
130,hanamaki,39.3833,141.1167,20.11,60,75,2.06,JP,1717472078
131,porto novo,6.4965,2.6036,27.9,89,81,2.02,BJ,1717472079
132,maxixe,-23.8597,35.3472,22.15,93,63,2.73,MZ,1717472079
133,kalach-na-donu,48.691,43.5264,23.4,53,39,4.35,RU,1717471827
134,wamba,8.9333,8.6,23.55,91,58,1.09,NG,1717472079
135,stropkov,49.2021,21.6522,15.83,98,100,0.78,SK,1717472079
136,wailua homesteads,22.0669,-159.378,28.24,84,75,5.66,US,1717472080
137,afaahiti,-17.75,-149.2833,25.59,76,100,6.15,PF,1717472080
138,selfoss,63.9331,-20.9971,3.91,58,98,7.88,IS,1717472080
139,puerto deseado,-47.7503,-65.8938,5.93,74,100,4.01,AR,1717471879
140,thompson,55.7435,-97.8558,12.09,71,40,4.12,CA,1717472080
141,bakanas,44.8081,76.2772,21.57,24,0,7.97,KZ,1717472081
142,maracas,-13.4411,-40.4308,15.74,99,74,2.22,BR,1717472081
143,uliastay,47.7417,96.8444,16.66,27,92,5.43,MN,1717472081
144,bardai,11.65,7.2333,23.9,65,100,4.85,NG,1717472081
145,kharan,28.5833,65.4167,33.07,22,0,2.09,PK,1717472081
146,cockburn town,21.4612,-71.1419,25.77,89,100,6.46,TC,1717472082
147,tura,25.5198,90.2201,27.97,82,9,2.24,IN,1717472082
148,bilibino,68.0546,166.4372,14.75,36,99,3.67,RU,1717472082
149,bredasdorp,-34.5322,20.0403,16.47,91,100,8.2,ZA,1717472082
150,weno,7.4515,151.8468,30.97,79,75,3.6,FM,1717472082
151,vernon,50.2581,-119.2691,16.34,41,5,3.6,CA,1717472083
